Link,Abstrak,Author,Pub,Ed
detail.jsp?id=46123&lokasi=lokal,"Analisis Faktor yang Memengaruhi Loyalitas Konsumen dalam Membeli Makanan pada Layanan Online Delivery-Sourcing: Studi Kasus Go-Food    Penelitian ini dilakukan untuk menganalisis faktor-faktor yang memengaruhi loyalitas konsumen dalam pembelian makanan pada online delivery-sourcing di Indonesia, yaitu Go-Food. Faktor-faktor yang digunakan dalam model penelitian yang diajukan berasal dari tiga teori, yaitu teori kualitas hubungan, model perceived value (PERVAL), dan mobile service quality (M-S-QUAL). Total responden yang berhasil diperoleh adalah sebanyak 852 data lengkap. Data tersebut dianalisis menggunakan pendekatan kuantitatif dengan metode Covariance-Based Structural Equation Model (CB-SEM) yang didukung oleh tools AMOS 22.0. Hasil analisis yang diperoleh adalah faktor emotional value, social value, dan price value for money memengaruhi secara positif terhadap perceived value, di mana emotional value yang paling kuat. Faktor efficiency, content, fulfilment, responsiveness, contact, dan billing memengaruhi secara positif terhadap satisfaction, di mana faktor fulfilment yang paling kuat. Selain itu, faktor perceived value dan satisfaction memengaruhi secara positif terhadap loyalty, di mana satisfaction memiliki pengaruh yang paling kuat.",Sumarliyanti  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2018 Call Number: SK-1598 (Softcopy SK-1080) ",Putu Wuri Handayani
detail.jsp?id=46126&lokasi=lokal,"Analisis Perilaku Pengguna Dalam Mencapai Kredibilitas Informasi Pada Situs Instagram GO-JEK    Penelitian ini bertujuan untuk menganalisis faktor motivasi pengguna untuk menggunakan Instagram GO-JEK dan bagaimana pengaruhnya terhadap kredibilitas informasi pada Instagram GO-JEK. Faktor tersebut berasal dari motivasi untuk menggunakan Instagram dan Dual Process Theory yang terdiri dari Informational Influence dan Normative Influence. Penelitian ini menggunakan pendekatan kuantitatif dengan responden sebanyak 341 data yang merupakan pengguna Instagram yang pernah menggunakan Instagram GO-JEK dan dianalisis dengan metode PLS-SEM. Hasil penelitian ini yaitu motivasi passing time paling berdampak pada informational influence. Selain itu, motivasi showing affection paling berdampak pada normative influence. Faktor Informational Influence juga paling berdampak pada kredibilitas informasi pada Instagram ini.",S. Reyneta Carissa Anwar  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1601 (Softcopy SK-1083) ",Putu Wuri Handayani
detail.jsp?id=46149&lokasi=lokal,"Desain Interaksi Aplikasi untuk Mengakomodasi Self-Regulated Learning    Kualitas pendidikan di Indonesia masih tertinggal dibandingkan negara lain. Diketahui bahwa salah satu penyebab ketertinggalan kualitas pendidikan di Indonesia adalah pelajar yang masih belum dapat mengelola proses belajar secara efektif. Hal ini menjadi indikasi rendahnya kemampuan self-regulated learning pada diri pelajar di Indonesia. Self-regulated learning merupakan keterampilan yang esensial dalam proses belajar. Penerapan self-regulated learning pada kegiatan belajar dapat meningkatkan performa pelajar. Penelitian ini bertujuan untuk merancang desain aplikasi untuk membantu mengakomodasi self-regulated learning pada pelajar. Dalam merancang desain aplikasi, digunakan pendekatan user-centered design. Proses pengembangan desain aplikasi dimulai dari tahap studi literatur, lalu pengumpulan requirements, analisis data, desain, prototyping dan evaluasi. Pada tahap evaluasi digunakan teknik usability testing dan wawancara. Hasil penelitian ini berupa high-fidelity design aplikasi berdasarkan hasil evaluasi low-fidelity design oleh pengguna.",Mila  Alief Alya  ," Publisher: Depok"": Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1603 (Softcopy SK-1085) ",Harry Budi Santoso S
detail.jsp?id=46167&lokasi=lokal,"Evaluasi dan Pengembangan Alternatif Desain Interaksi Go-Food    Go-Food merupakan salah satu layanan dari perusahaan ride-on-demand Go-Jek yang menyediakan jasa pesan antar makanan sesuai dengan permintaan penggunanya. Sejak kemunculannya di bulan April 2015, Go-Food diklaim telah menjadi layanan pesan-antar terbesar di dunia di luar Cina. Dengan jumlah penggunanya yang sangat besar, tentu Go-Food masih belum terhindar dari keluhan dan masalah dari penggunanya. Sehingga untuk meningkatkan kenyamanan pengguna ketika menggunakan aplikasi Go-Food ke depannya, perlu dilakukan evaluasi terhadap desain Go-Food yang ada sekarang. Evaluasi terhadap sistem dilakukan dengan menyebarkan kuesioner online berisi System Usability Scale dan pertanyaan terbuka terkait pengalaman penggunaan ke responden yang pernah menggunakan Go-Food di Jabodetabek di tahun 2017, dan dengan meminta tiga orang praktisi di bidang UI/UX untuk melakukan heuristic evaluation terhadap sistem yang ada sekarang. Hasil dari penelitian ini menunjukkan bahwa meskipun Go-Food sudah memiliki kualitas usability yang baik, masih banyak ruang untuk peningkatan kualitas layanan di Go-Food.",Ivana Putri  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1642 (Softcopy SK-1124) ",Harry Budi Santoso
detail.jsp?id=45008&lokasi=lokal,"Evaluasi Desain Materi Instruksional Berdasarkan Gaya Belajar Felder-Silverman    Gaya belajar yang dimiliki oleh mahasiswa berbeda-beda. Sayangnya, belum banyak desain materi instruksional yang dapat mengakomodasi gaya belajar mereka. Salah satu cara untuk menjawab masalah tersebut adalah dengan menyediakan desain yang sesuai dengan gaya belajar dan dapat digunakan oleh mahasiswa dengan nyaman. Pada skripsi ini akan dilakukan evaluasi terhadap desain materi instruksional untuk gaya belajar Active-Sensing-Visual-Sequential, Active-Sensing-Visual-Global, Active-Intuitive-Visual-Sequential, dan ActiveIntuitive-Visual-Global. Penelitian ini bersifat kualitatif dan kuantitatif. Hasil penelitian ini adalah saran perbaikan untuk desain materi instruksional yang pernah dikembangkan. Saran perbaikan yang didapatkan secara umum terkait penyajian konten materi yang perlu lebih banyak visualisasi. Hal tersebut untuk mendukung dimensi gaya belajar visual yang dimiliki mahasiswa. Selain itu juga terdapat saran perbaikan terkait navigasi pada tiap halaman untuk memudahkan mahasiswa untuk mencari halaman yang diinginkan.",Aulia Chairunisa  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2017 Call Number: SK-1580 (Softcopy SK-1062) ",Harri Budi Santoso
detail.jsp?id=46166&lokasi=lokal,"Pengaruh Efek Moderasi Social Feature dan Social User terhadap Penerimaan Rekomendasi serta Dampaknya terhadap Purchase Intention di Instagram    Penelitian ini bertujuan untuk mengetahui pengaruh social feature dan social user terhadap penerimaan rekomendasi pada kegiatan berbelanja di Instagram. Penelitian ini menggunakan pendekatan kuantitatif terhadap 654 data yang dikumpulkan melalui kuesioner online. Data tersebut dianalisis menggunakan metode CB-SEM dan tools AMOS 21. Hasil penelitian terhadap data yang digunakan menunjukkan bahwa social feature dan social user memberikan efek moderasi terhadap hubungan social recommendation dengan cognitive appraisal dan affective appraisal pengguna Instagram, di mana cognitive appraisal dan affective appraisal tersebut memberikan pengaruh terhadap purchase intention pengguna Instagram untuk melakukan pembelian ketika berbelanja di Instagram.",Muhammad Aldi Yusron  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1637 (Softcopy SK-1119) ",Putu Wuri Handayani
detail.jsp?id=45740&lokasi=lokal,"Rancangan dan Implementasi Teknologi Intranet Poll Site Polling Memanfaatkan Enkripsi Berbasis Smartcard dan Android: Studi Kasus Pemira IKM UI Intranet Poll Site Voting merupakan salah satu model e-voting dimana penyelenggara memiliki otoritas yang tinggi mengatur pelaksanaan pemilihan. Untuk menerapkan electronic voting atau e-voting dengan model Intranet Poll Site Voting pada Pemilihan Raya IKM UI (Pemira IKM UI), dilakukan penelitian dengan mengintegrasikan berbagai teknologi seperti telepon pintar, kartu pintar berbasis Java Card, Firebase serta algoritma kriptograﬁ seperti hash SHA-256 dan enkripsi-dekripsi RSA. Setiap kartu mahasiswa UI memiliki data identitas serta public/privatekeyyangdapatdipergunakanuntukmelakukanprosesenkripsi,yang secara unik dan aman tersimpan dalam kartu mahasiswa UI. Tujuan pemanfaatan kartu mahasiswa ini adalah agar seluruh mahasiswa dapat mewakili dirinya sendiri dalam menyuarakan pilihannya secara elektronik. Begitu pula dengan panitia penyelenggara e-voting, kartu pintar yang memiliki public/private key juga dipergunakan untuk mengunci dan membuka suara pilihan mahasiswa secara aman dan terkendali. Teknologi e-voting yang diimplementasi menghasilkan sistem disebut EasyVote. Hasil akhir dari penelitian ini adalah prototipe yang terdiri dari aplikasi pemilihan bernama EasyVote Android, dan aplikasi manajemen penyelenggaraan bernama EasyVote Dashboard. E-voting juga perlu dirancang sesuai dengan aturan yang berlaku yaitu harus memenuhi asas Langsung, Umum, Bebas, Rahasia, Jujur, dan Adil (LUBERJURDIL).",Jefly  ," Publisher: Depok : Fak. Ilmu Komputer, 2018 Call Number: SK-1583 (Softcopy SK-1065) Source Code SK-648 ",Gladhi Guarddin
detail.jsp?id=4498&lokasi=lokal,"Pentingnya penerapan teknologi informasi dalam dunia bisnis semakin terasa. Penerapan EDI(Electronic Data Interchange) sudah mulai menjadi kebutuhan dibeberapa perusahaan. Dalam menjalankan bisnis, perusahaan-perusahaan telah menggunakan teknologi komputer. Pembuatan surat-surat transaksi, penyimpanan data barang-barang yang diperdagangkan, dan pencatatan pergudangan adalah beberapa fungsi yang telah menggunakan sistem berbantuan komputer. Perusahaan-perusahaan yang telah menggunakan sistem berbantuan komputer dapat melakukan penerapan EDI. Penerapana EDI dilakukan dengan membangun komunikasi komputer dengan mitra bisnis, menerjemahkan data yang dikomunikasikan ke bakuan EDI, dan menggunakan application mapper. Tugas akhir ini menghasilkan A-Map, suatu aplication mapper, yaitu perangkat lunak yang berfungsi menjembatani aplikasi komputer dengan penerjemah EDI. Untuk menggabungkan sistem berbantuan komputer dengan struktur basis data yang dibaca tersebut pemakai akan menentukan field-field data yang akan diterjemahkan. Selanjutnya pertukaran dan dilakukan dengan membaca basis data berdasarkan pasangan field pada basis data dengan data segment pada dokumen yang berbakuan EDI.","Achrulah, Mochamad Riza  "," Publisher: Depok: Fasilkom UI, 1997 Call Number: SK-0334 ",Benny Rendi
detail.jsp?id=44959&lokasi=lokal,"Analisis Kegiatan Berbagi Pengetahuan pada Komunitas Customer-to-Customer (C2C) E-Commerce: Studi Kasus Bukalapak Penelitian ini bertujuan untuk menganalisis informasi atau pengetahuan yang dibagikan di komunitas C2C e-commerce serta motivasi anggota komunitas untuk membagikan pengetahuannya pada komunitas tersebut. Pada penelitian ini diperoleh 105 data responden yang merupakan penjual Bukalapak yang pernah membagikan pengetahuannya pada komunitas tersebut serta diambil sampel 1.002 data post pada bulan April 2016, Mei 2016, Juni 2016, Juli 2016, Januari 2017, dan Maret 2017 di komunitas online Bukalapak yang akan merepresentasikan informasi dan pengetahuan yang dibagikan di komunitas tersebut. Data dianalisis dengan menggunakan descriptive statistic dan netnographic study. Hasil pada penelitian ini adalah pengelompokkan informasi dan pengetahuan dan didapatkan pula bahwa 10 faktor yang berpengaruh terhadap motivasi anggota komunitas dalam berbagi pengetahuan: enjoying helping, community-related outcome expectation, sense of self-worth, self-efficacy, role model, identification-based trust, information-based trust, reciprocity, personal outcome expectation, dan social support, sedangkan reputation didapatkan bukan merupakan faktor yang memotivasi individu dalam membagikan pengetahuannya pada komunitas online.",Septiani Andriane B. Sinaga  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1525 (Softcopy SK-1007) ",Putu Wuri Handayani
detail.jsp?id=43519&lokasi=lokal,"Adaptasi Expectation-Confirmation Model untuk Memprediksi Pengaruh System Quality dan Service Quality Terhadap Continuance Intention Behavior pada Penggunaan Aplikasi Berbasis M-Service: Studi Kasus Aplikasi Mobile Go-Jek Dewasa ini, perkembangan teknologi m-service sudah menawarkan berbagai kemudahan yang bermanfaat bagi masyarakat. Salah satunya dengan kehadiran layanan pemesanan jasa transportasi secara online. Saat ini berbagai vendor penyedia layanan pemesanan jasa transportasi secara online bersaing secara ketat dalam menarik minat pengguna dan menjadi popular pada beberapa tahun belakangan ini. Layanan pemesanan jasa transportasi secara online sangat membantu masyarakat dalam menjalankan berbagai aktivitasnya di tengah tuntutan mobilitas yang tinggi. Di tengah persaingan tersebut, vendor harus terus meningkatkan layanannya untuk tetap mempertahankan minat pengguna layanan dan meningkatkan continuance intention pengguna layanan tersebut. Penelitian ini bertujuan untuk menganalisis berbagai faktor yang menentukan minat seorang pengguna untuk terus menggunakan layanan pemesanan jasa transportasi online secara berkelanjutan. Model penelitian ini dianalisis dengan pendekatan partial least square terhadap 372 responden menggunakan tools SmartPLS 3.0 M3. Melalui adaptasi Expectation-Confirmation Model (ECM), faktor seperti satisfaction, trust dan perceived usefulness terkait kualitas aplikasi dan kualitas layanan yang diberikan pengemudi dilihat pengaruhnya terhadap continuance intention pengguna layanan pemesanan ojek online berbasis aplikasi mobile(mobile service). Hasil analisis menunjukkan bahwa satisfaction dan trust terkait layanan yang diberikan pengemudi terbukti tidak memengaruhi continuance intention pengguna layanan. Namun, meski tidak memengaruhi continuance intention pelanggan, faktor- faktor tersebut memberikan pengaruh yang sangat signifikan terhadap perceived usefulness pengguna terhadap layanan secara umum dibandingkan faktor kualitas aplikasi. Selain itu, satisfaction dan trust terhadap kualitas aplikasi terbukti berpengaruh terhadap continuance intention pengguna layanan. Faktor seperti perceived usefulness dan perceived fee juga terbukti mempengaruhi continuance intention. Dalam hubungan terkait continuance intention pengguna layanan, faktor perceived fee menjadi faktor yang paling signifikan dalam menentukan continuance intention pengguna terhadap layanan.",Khalida Anggun Rahmadini  ," Publisher: Depok : Fakultas Ilmu Ilmu Komputer, 2016 Call Number: SK-1459 (Softcopy SK-941) ",A. Nizar Hidayanto
